URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/address-type,4.0.1,active,"2.16.840.1.113883.4.642.3.69",AddressType,AddressType,"The type of an address (physical / postal).","StructureDefinition/ror-location,StructureDefinition/ror-organization","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/address-use,4.0.1,active,"2.16.840.1.113883.4.642.3.67",AddressUse,AddressUse,"The use of an address.","StructureDefinition/ror-location,StructureDefinition/ror-organization","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.3.1",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","StructureDefinition/ror-practitioner,StructureDefinition/ror-person","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/common-tags,4.0.1,draft,"2.16.840.1.113883.4.642.3.79",CommonTags,Common Tags,"Common Tag Codes defined by FHIR project","StructureDefinition/ror-internal-organization,StructureDefinition/ror-location,StructureDefinition/ror-practitionerrole,StructureDefinition/ror-core-organization-uf,StructureDefinition/ror-healthcareservice,StructureDefinition/ror-practitioner,StructureDefinition/ror-organization,StructureDefinition/ror-person","THO"
http://hl7.org/fhir/ValueSet/composite-measure-scoring,4.0.1,draft,"2.16.840.1.113883.4.642.3.773",CompositeMeasureScoring,CompositeMeasureScoring,"The composite scoring method of the measure.","StructureDefinition/ror-measure","THO"
http://hl7.org/fhir/ValueSet/contact-point-system,4.0.1,active,"2.16.840.1.113883.4.642.3.71",ContactPointSystem,ContactPointSystem,"Telecommunications form for contact point.","StructureDefinition/ror-internal-organization,StructureDefinition/ror-location,StructureDefinition/ror-practitionerrole,StructureDefinition/ror-core-organization-uf,StructureDefinition/ror-healthcareservice,StructureDefinition/ror-practitioner,StructureDefinition/ror-organization,StructureDefinition/ror-person","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/contact-point-use,4.0.1,active,"2.16.840.1.113883.4.642.3.73",ContactPointUse,ContactPointUse,"Use of contact point.","StructureDefinition/ror-internal-organization,StructureDefinition/ror-location,StructureDefinition/ror-practitionerrole,StructureDefinition/ror-core-organization-uf,StructureDefinition/ror-healthcareservice,StructureDefinition/ror-practitioner,StructureDefinition/ror-organization,StructureDefinition/ror-person","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/contactentity-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.416",ContactEntityType,Contact entity type,"This example value set defines a set of codes that can be used to indicate the purpose for which you would contact a contact party.","StructureDefinition/ror-internal-organization,StructureDefinition/ror-core-organization-uf","THO"
http://hl7.org/fhir/ValueSet/days-of-week,4.0.1,active,"2.16.840.1.113883.4.642.3.512",DaysOfWeek,DaysOfWeek,"The days of the week.","StructureDefinition/ror-location,StructureDefinition/ror-practitionerrole,StructureDefinition/ror-healthcareservice","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/definition-topic,4.0.1,draft,"2.16.840.1.113883.4.642.3.794",DefinitionTopic,DefinitionTopic,"High-level categorization of the definition, used for searching, sorting, and filtering.","StructureDefinition/ror-measure","THO"
